timestamp,Open,High,Low,Close,Volume
2021-05-13,1.3019,1.3717,1.2248,1.3644,9588058.0
2021-05-14,1.3644,1.4489,1.3243,1.4013,16148013.0
2021-05-15,1.4013,1.5837,1.3234,1.4924,50956839.0
2021-05-16,1.4924,1.613,1.3381,1.4479,66470183.0
2021-05-17,1.4479,1.5633,1.3257,1.4967,75532635.0
2021-05-18,1.4967,1.7039,1.475,1.5911,101410802.0
2021-05-19,1.5911,1.6467,0.8482,1.0606,224029270.0
2021-05-20,1.0606,1.2652,0.9034,1.1796,114054760.0
2021-05-21,1.1796,1.22,0.8651,1.0065,107903750.0
2021-05-22,1.0065,1.0158,0.8151,0.9047,133401592.0
2021-05-23,0.9047,0.9683,0.65,0.7897,211078680.0
2021-05-24,0.7897,0.9972,0.7539,0.9926,135033807.0
2021-05-25,0.9926,1.0596,0.88,0.9744,153234120.0
2021-05-26,0.9744,1.0689,0.9441,1.0304,110519597.0
2021-05-27,1.0304,1.0419,0.9314,0.9734,97767302.0
2021-05-28,0.9734,0.9841,0.8461,0.8988,161025951.0
2021-05-29,0.8988,0.9421,0.7924,0.8292,159396434.0
2021-05-30,0.8292,0.933,0.7976,0.9057,134740675.0
2021-05-31,0.9057,1.0496,0.8807,1.0416,230665872.0
2021-06-01,1.0416,1.1,0.974,1.0103,246775827.0
2021-06-02,1.0103,1.0503,0.98,1.0255,143336714.0
2021-06-03,1.0255,1.0783,1.0078,1.0442,130282183.0
2021-06-04,1.0442,1.0453,0.9155,0.9689,196050279.0
2021-06-05,0.9689,0.9987,0.8885,0.9223,160880841.0
2021-06-06,0.9223,0.9498,0.9174,0.946,99939785.0
2021-06-07,0.946,0.9757,0.8357,0.8617,156112549.0
2021-06-08,0.8617,0.8853,0.782,0.8734,252503449.0
2021-06-09,0.8734,0.9223,0.83,0.9222,222850853.0
2021-06-10,0.9222,0.9301,0.8525,0.8693,143922959.0
2021-06-11,0.8693,0.8807,0.8332,0.8473,147411825.0
2021-06-12,0.8473,0.8476,0.8055,0.8319,135706208.0
2021-06-13,0.8319,0.8879,0.8172,0.8832,129832121.0
2021-06-14,0.8832,0.9297,0.8632,0.8906,145833824.0
2021-06-15,0.8906,0.9014,0.855,0.8669,127765147.0
2021-06-16,0.8669,0.8733,0.8262,0.8321,116653701.0
2021-06-17,0.8321,0.8604,0.8229,0.8421,89242829.0
2021-06-18,0.8421,0.8455,0.7677,0.7967,115285452.0
2021-06-19,0.7967,0.805,0.7555,0.7588,105607571.0
2021-06-20,0.7588,0.7852,0.6952,0.7737,214664396.0
2021-06-21,0.7737,0.7799,0.6033,0.6059,346272060.0
2021-06-22,0.6059,0.649,0.5094,0.5463,492423950.0
2021-06-23,0.5463,0.6655,0.5196,0.6375,459192957.0
2021-06-24,0.6375,0.6922,0.6159,0.6728,340560760.0
2021-06-25,0.6728,0.6884,0.6017,0.6106,437514940.0
2021-06-26,0.6106,0.6321,0.581,0.6164,335245248.0
2021-06-27,0.6164,0.6519,0.5966,0.6479,264362144.0
2021-06-28,0.6479,0.6571,0.624,0.6436,240808732.0
2021-06-29,0.6436,0.736,0.6413,0.7066,371738750.0
2021-06-30,0.7066,0.7142,0.648,0.7057,349996601.0
2021-07-01,0.7057,0.7058,0.6442,0.6591,274628832.0
2021-07-02,0.6591,0.6675,0.6327,0.6555,194253907.0
2021-07-03,0.6555,0.687,0.6428,0.6729,181740967.0
2021-07-04,0.6729,0.7089,0.6658,0.6958,165933613.0
2021-07-05,0.6958,0.6963,0.6436,0.6519,183073483.0
2021-07-06,0.6519,0.6792,0.6515,0.6649,168928033.0
2021-07-07,0.6649,0.6739,0.65,0.6519,124928195.0
2021-07-08,0.6519,0.6541,0.6107,0.6214,195247118.0
2021-07-09,0.6214,0.6454,0.59,0.6364,224673503.0
2021-07-10,0.6364,0.6485,0.6115,0.625,153299513.0
2021-07-11,0.625,0.6448,0.6173,0.6362,131648552.0
2021-07-12,0.6362,0.6569,0.6175,0.6294,180277994.0
2021-07-13,0.6294,0.6445,0.609,0.6196,160064560.0
2021-07-14,0.6196,0.6276,0.5848,0.6199,199493780.0
2021-07-15,0.6199,0.626,0.5879,0.5972,153619594.0
2021-07-16,0.5972,0.6196,0.5881,0.5896,163303191.0
2021-07-17,0.5896,0.5979,0.5561,0.5821,191212703.0
2021-07-18,0.5821,0.6022,0.5705,0.5867,134604833.0
2021-07-19,0.5867,0.5888,0.5532,0.5577,163468671.0
2021-07-20,0.5577,0.57,0.5157,0.5285,218445292.0
2021-07-21,0.5285,0.5869,0.519,0.5711,254094229.0
2021-07-22,0.5711,0.6031,0.5608,0.5918,252808201.0
2021-07-23,0.5918,0.61,0.575,0.6092,254733375.0
2021-07-24,0.6092,0.6227,0.6001,0.6083,166229110.0
2021-07-25,0.6083,0.6115,0.5908,0.6062,129186223.0
2021-07-26,0.6062,0.68,0.6045,0.6231,406578681.0
2021-07-27,0.6231,0.6529,0.6121,0.6449,223870122.0
2021-07-28,0.6449,0.7563,0.6313,0.7327,730196568.0
2021-07-29,0.7327,0.7662,0.6967,0.7491,325441351.0
2021-07-30,0.7491,0.77,0.7124,0.7524,352768595.0
2021-07-31,0.7524,0.7598,0.7371,0.7462,175890831.0
2021-08-01,0.7462,0.7775,0.7025,0.7238,228731486.0
2021-08-02,0.7238,0.7738,0.7141,0.7385,196298263.0
2021-08-03,0.7385,0.7448,0.7002,0.7135,192309594.0
2021-08-04,0.7135,0.7396,0.6938,0.7311,155620172.0
2021-08-05,0.7311,0.739,0.702,0.7334,146126672.0
2021-08-06,0.7334,0.7534,0.7229,0.7469,129446799.0
2021-08-07,0.7469,0.8198,0.7419,0.8171,278080755.0
2021-08-08,0.8171,0.842,0.7725,0.7797,215791808.0
2021-08-09,0.7797,0.8284,0.7605,0.818,239718989.0
2021-08-10,0.818,0.8632,0.8009,0.8518,276801212.0
2021-08-11,0.8518,1.0923,0.8491,1.0131,734532772.0
2021-08-12,1.0131,1.0463,0.9219,0.9659,675991686.0
2021-08-13,0.9659,1.0973,0.9511,1.0905,483637347.0
2021-08-14,1.0905,1.3121,1.0705,1.281,927808074.0
2021-08-15,1.281,1.3496,1.2262,1.2852,759158866.0
2021-08-16,1.2852,1.3319,1.1364,1.1856,561395328.0
2021-08-17,1.1856,1.2241,1.086,1.0987,573763074.0
2021-08-18,1.0987,1.1955,1.0508,1.1432,601519755.0
2021-08-19,1.1432,1.2354,1.0902,1.2349,442852207.0
2021-08-20,1.2349,1.291,1.2015,1.2633,367442093.0
2021-08-21,1.2633,1.2839,1.2021,1.2173,278438216.0
2021-08-22,1.2173,1.257,1.1774,1.2262,241840198.0
2021-08-23,1.2262,1.3063,1.1936,1.2475,392241272.0
2021-08-24,1.2475,1.2665,1.1166,1.1363,396478270.0
2021-08-25,1.1363,1.1775,1.107,1.1745,335205968.0
2021-08-26,1.1745,1.1874,1.0628,1.0725,417761989.0
2021-08-27,1.0725,1.1932,1.0504,1.1924,362765098.0
2021-08-28,1.1924,1.1997,1.1327,1.1466,237263965.0
2021-08-29,1.1466,1.1698,1.1125,1.142,241064601.0
2021-08-30,1.142,1.15,1.0953,1.1007,240498394.0
2021-08-31,1.1007,1.2434,1.091,1.1865,464262846.0
2021-09-01,1.1865,1.2383,1.16,1.2365,320277498.0
2021-09-02,1.2365,1.2974,1.2224,1.2544,343361606.0
2021-09-03,1.2544,1.325,1.2184,1.2915,397298586.0
2021-09-04,1.2915,1.2997,1.2363,1.2554,192845149.0
2021-09-05,1.2554,1.312,1.2374,1.308,206280429.0
2021-09-06,1.308,1.4168,1.3075,1.3898,450036579.0
2021-09-07,1.3898,1.393,0.956,1.1288,957695073.0
2021-09-08,1.1288,1.1478,1.0127,1.1,446514262.0
2021-09-09,1.1,1.1388,1.0698,1.0878,326553932.0
2021-09-10,1.0878,1.2444,1.029,1.0559,572550072.0
2021-09-11,1.0559,1.1138,1.0513,1.0787,238228807.0
2021-09-12,1.0787,1.1273,1.0574,1.118,214848184.0
2021-09-13,1.118,1.1258,1.0263,1.0651,324524345.0
2021-09-14,1.0651,1.0974,1.0578,1.0965,165841099.0
2021-09-15,1.0965,1.1303,1.0786,1.1217,166351428.0
2021-09-16,1.1217,1.1298,1.067,1.0915,186773764.0
2021-09-17,1.0915,1.1033,1.051,1.0665,173085546.0
2021-09-18,1.0665,1.0949,1.0583,1.0759,114217461.0
